job_id	agency	posting_type	#_of_positions	business_title	job_category	Posting_Date	annualsalaryfrom	annualsalaryto	averageannualsalary	degrees	highestdegree	ngrams
87990	DEPARTMENT OF BUSINESS SERV.	Internal	1	Account Manager	""	2011-06-24	42405.0	65485.0	53945.0	baccalaureate	baccalaureate	,excellent,interpersonal,and,organizational,skill,excellent,analytic,and,operational,skill,excellent,writing,and,editing,skill,knowledge,of,government,procurement,process,and,information,system,desirable,foreign,language,skill,a,plus
132292	NYC HOUSING AUTHORITY	External	52	Maintenance Worker - Technical Services-Heating Unit	Maintenance & Operations	2013-10-24	51907.68	54580.32	53244.0	high school	high school	,a,high,school,diploma,or,ged,cdl,driver,license,excellent,troubleshooting,ability,and,mechanical,aptitude,excellent,analytical,and,organizational,skill,ability,to,troubleshoot,various,type,of,vacuum,heating,equipment,knowledge,of,steam,and,pneumatic,heating,system,steam,and,hot,water,generating,system,various,type,of,heat,air,and,water,pump,knowledge,of,maximo,work,order,system
132292	NYC HOUSING AUTHORITY	Internal	52	Maintenance Worker - Technical Services-Heating Unit	Maintenance & Operations	2013-10-24	51907.68	54580.32	53244.0	high school	high school	,a,high,school,diploma,or,ged,cdl,driver,license,excellent,troubleshooting,ability,and,mechanical,aptitude,excellent,analytical,and,organizational,skill,ability,to,troubleshoot,various,type,of,vacuum,heating,equipment,knowledge,of,steam,and,pneumatic,heating,system,steam,and,hot,water,generating,system,various,type,of,heat,air,and,water,pump,knowledge,of,maximo,work,order,system
137433	DEPT OF HEALTH/MENTAL HYGIENE	Internal	1	Contract Analyst	Finance, Accounting, & Procurement	2013-12-09	50598.0	85053.0	67825.5	baccalaureate,high school,diploma,high school,diploma	baccalaureate	strong,analytical,background,advanced,proficiency,in,microsoft,excel,and,word,experience,in,procurement,budget,and,grant,management,understanding,of,contract,management,strong,organizational,and,administrative,skill,and,excellent,oral,interpersonal,and,written,communication,skill
138531	DEPT OF ENVIRONMENT PROTECTION	Internal	1	Associate Chemist	Health Public Safety, Inspections, & Enforcement	2013-12-20	50623.0	75083.0	62853.0	baccalaureate,baccalaureate	baccalaureate	in,order,to,apply,for,this,position,the,candidate,must,be,a,permanent,associate,chemist,or,on,an,associate,chemist,civil,service,list,experience,in,testing,drinking,water,sample,for,trace,organic,contaminant,by,epaapproved,gas,chromatographic,method,is,preferred,experience,in,testing,environmental,water,sample,for,trace,organic,contaminant,by,gas,chromatographic,method,is,also,acceptable,strong,writing,and,communication,skill,are,desirable,a,well,a,familiarity,with,computer,program,including,excel,and,word
151131	NYC HOUSING AUTHORITY	External	1	Cost Estimating Manager	Engineering, Architecture, & Planning	2014-06-25	90000.0	110000.0	100000.0	master,baccalaureate	master	,five,year,of,managerial,and,supervisory,experience,excellent,verbal,and,written,communication,skill,ability,to,work,collaboratively,with,others,ability,to,perform,detailed,work,under,timesensitive,deadline
152738	LAW DEPARTMENT	Internal	1	Office Manager	Clerical & Administrative Support	2014-06-26	30683.0	49707.0	40195.0	high school,diploma	diploma	experience,with,law,manager,and,microsoft,office,application
160910	DEPT OF INFO TECH & TELECOMM	Internal	1	Deputy Director, Audits and Accounts	Finance, Accounting, & Procurement	2014-08-21	49492.0	60000.0	54746.0	baccalaureate,high school,diploma,high school	baccalaureate	the,preferred,candidate,should,posse,the,following,a,bachelor,degree,and,year,of,full,time,experience,in,account,payable,detail,oriented,selfmotivated,personable,ability,to,manage,a,high,volume,workload,knowledge,and,experience,with,nyc,financial,management,system,fm,infoadvantage,and,crystal,reporting,familiarity,with,accounting,and,bookkeeping,best,practice,proficient,with,microsoft,office,excel,access,and,word,excellent,communication,skill,and,the,ability,to,communicate,with,client,and,vendor,both,in,writing,and,orally,ability,to,be,a,team,player,and,assist,other,member,of,the,staff,when,needed,and,handle,multiple,task,under,tight,deadline
167179	NYC EMPLOYEES RETIREMENT SYS	External	1	CERTIFIED IT ADMINISTRATOR (WAN), Level 4	Information Technology & Telecommunications	2014-11-19	87203.0	131623.0	109413.0	baccalaureate,high school,diploma	baccalaureate	minimum,year,of,experience,planning,designing,configuring,installing,troubleshooting,and,maintaining,data,and,voice,network,experience,in,performance,and,capacity,monitoring,required,cisco,certified,network,professional,certification,preferred,familiarity,with,cisco,network,technology,router,switch,io,nxos,firewall,asa,intrusion,prevention,system,secure,access,control,system,and,fiber,channel,over,ip,and,with,avaya,telephone,system,strongly,preferred,experience,with,voice,over,ip,voip,disaster,recovery,automated,failover,resilient,network,performance,and,capacity,monitoring,load,balancing,network,security,and,wireless,network,wifi,are,desirable
167179	NYC EMPLOYEES RETIREMENT SYS	Internal	1	CERTIFIED IT ADMINISTRATOR (WAN), Level 4	Information Technology & Telecommunications	2014-11-19	87203.0	131623.0	109413.0	baccalaureate,high school,diploma	baccalaureate	minimum,year,of,experience,planning,designing,configuring,installing,troubleshooting,and,maintaining,data,and,voice,network,experience,in,performance,and,capacity,monitoring,required,cisco,certified,network,professional,certification,preferred,familiarity,with,cisco,network,technology,router,switch,io,nxos,firewall,asa,intrusion,prevention,system,secure,access,control,system,and,fiber,channel,over,ip,and,with,avaya,telephone,system,strongly,preferred,experience,with,voice,over,ip,voip,disaster,recovery,automated,failover,resilient,network,performance,and,capacity,monitoring,load,balancing,network,security,and,wireless,network,wifi,are,desirable
170989	OFFICE OF COLLECTIVE BARGAININ	Internal	1	COLLEGE AIDE - CLERICAL	Clerical & Administrative Support	2014-10-09	18200.0	21548.8	19874.4	""	""	,excellent,interpersonal,communication,skill,strong,work,ethic,and,attention,to,detail,familiarity,with,microsoft,office,suite
170989	OFFICE OF COLLECTIVE BARGAININ	External	1	COLLEGE AIDE - CLERICAL	Clerical & Administrative Support	2014-10-09	18200.0	21548.8	19874.4	""	""	,excellent,interpersonal,communication,skill,strong,work,ethic,and,attention,to,detail,familiarity,with,microsoft,office,suite
171040	DEPT OF HEALTH/MENTAL HYGIENE	Internal	1	Clerical Associate, Bureau of Communicable Diseases	Clerical & Administrative Support	2014-10-08	32086.0	51981.0	42033.5	high school,diploma	diploma	,good,writing,and,verbal,communication,skill,strong,typing,skill,with,speed,and,accuracy,familiarity,with,word,access,and,excel,experience,with,entering,data,into,database,from,questionnaire,or,other,form,strong,organizational,and,tim
171944	DEPT OF INFO TECH & TELECOMM	Internal	1	Deputy Director, Audits and Accounts	Finance, Accounting, & Procurement Information Technology & Telecommunications	2014-10-30	43292.0	53000.0	48146.0	baccalaureate,high school,diploma,high school,diploma	baccalaureate	the,successful,candidate,should,posse,the,following,a,bachelor,degree,and,year,of,full,time,experience,in,account,payable,detail,oriented,selfmotivated,personable,ability,to,manage,a,high,volume,workload,knowledge,and,experience,with,nyc,financial,management,system,fm,infoadvantage,and,crystal,reporting,familiarity,with,accounting,and,bookkeeping,best,practice,proficient,with,microsoft,office,excel,access,and,word,excellent,communication,skill,and,the,ability,to,communicate,with,client,and,vendor,both,in,writing,and,orally,ability,to,be,a,team,player,and,assist,other,member,of,the,staff,when,needed,and,handle,multiple,task,under,tight,deadline
172053	DEPT OF INFO TECH & TELECOMM	Internal	1	311 Call Center Manager	Community & Business Services	2014-10-21	49492.0	69000.0	59246.0	baccalaureate,high school,diploma,high school	baccalaureate	the,preferred,candidate,should,have,the,following,professional,experience,managing,or,supervising,work,team,in,a,large,call,center,environment,demonstrated,ability,to,coach,motivate,and,develop,team,member,outstanding,collaboration,and,leadership,skill,demonstrated,knowledge,of,call,center,best,practice,call,center,key,performance,indicator,business,driver,call,center,telephony,and,application,technology,advanced,knowledge,of,microsoft,office,program,such,a,word,excel,access,visio,project,and,powerpoint,strong,knowledge,of,online,trend,and,social,medium,tool,advanced,written,and,verbal,communication,skill,strong,customer,and,quality,focus,excellent,planning,and,problem,solving,skill,advanced,project,management,skill,superior,organization,and,facilitation,skill,ability,to,manage,multiple,task,simultaneously,with,tight,deadline,and,ability,to,interface,effectively,with,executive,level,management,prior,work,experience,a,a,call,center,manager,or,call,center,supervisor,is,strongly,preferred
175362	DEPT OF HEALTH/MENTAL HYGIENE	Internal	1	Clerical Associate, Bureau of Vital Statistics	Clerical & Administrative Support	2014-11-18	32086.0	51981.0	42033.5	high school,diploma	diploma	experience,with,computerized,system,knowledge,of,detailed,record,keeping,system,ability,to,work,under,pressure,excellent,oral,written,administrative,and,interpersonal,skill
177048	DEPT OF INFO TECH & TELECOMM	Internal	1	Application Support Reporting Specialist	Information Technology & Telecommunications	2014-12-02	81290.0	95896.0	88593.0	baccalaureate,high school,diploma,high school,diploma	baccalaureate	the,preferred,candidate,should,posse,the,following,a,bachelor,degree,in,a,related,it,field,year,experience,in,a,specialized,role,that,includes,implementation,support,and,maintenance,of,large,scale,ntier,web,application,year,handson,experience,with,large,scale,data,warehouse,and,analytics,product,year,of,relational,and,dimensional,database,experience,year,plsql,experience,extremely,proficient,year,experience,in,business,intelligence,performance,tuning,experience,data,modeling,experience,knowledge,of,html,xml,and,cs,and,scripting,experience,with,m,sql,reporting,experience,utilizing,sap,business,object,product,for,report,and,administrating,business,object,environment,knowledge,of,the,implication,of,developing,for,highavailability,clustered,environment,experience,m,sql,reporting,service,experience,with,unix,shell,scripting,strong,knowledge,of,server,and,application,architecture,ability,to,work,in,cross,functional,team,to,provide,the,best,solution,strong,customer,and,qualityfocus,sound,problem,resolution,judgment,and,decisionmaking,skill,ability,to,work,directly,with,customer,to,elicit,and,document,reporting,requirement,ability,to,develop,clear,and,actionable,reporting,specification,based,on,these,requirement,demonstrated,experience,working,with,technical,and,nontechnical,staff,outstanding,collaboration,and,team,building,skill,strong,written,and,verbal,communication,skill,excellent,analytic,organization,presentation,and,facilitation,skill,experience,with,weblogic,cluster,environment,database,experience,with,m,sql,experience,with,m,ii,web,server,and,other,jee,application,server,such,a,tomcat,jboss,websphere,and,the,ability,to,handle,multiple,task,under,tight,deadline
